date,model_num,epoch_num,loss,network,pretrained,train_fraction
2023-12-09,3.0,13.0,9.276812,BG,1.0,0.6
2023-12-09,3.0,13.0,87.38533,No-BG,1.0,0.6
2023-12-09,3.0,14.0,9.980324,BG,1.0,0.6
2023-12-09,3.0,14.0,84.6934,No-BG,1.0,0.6
2023-12-09,0.0,0.0,72.487755,BG,1.0,0.6
2023-12-09,0.0,0.0,324.12225,No-BG,1.0,0.6
2023-12-09,0.0,1.0,15.552468,BG,1.0,0.6
2023-12-09,0.0,1.0,286.79663,No-BG,1.0,0.6
2023-12-09,0.0,2.0,12.463108,BG,1.0,0.6
2023-12-09,0.0,2.0,252.24236,No-BG,1.0,0.6
2023-12-09,0.0,3.0,12.041973,BG,1.0,0.6
2023-12-09,0.0,3.0,226.68785,No-BG,1.0,0.6
2023-12-09,0.0,4.0,12.33486,BG,1.0,0.6
2023-12-09,0.0,4.0,205.76875,No-BG,1.0,0.6
2023-12-09,0.0,5.0,14.772354,BG,1.0,0.6
2023-12-09,0.0,5.0,185.12787,No-BG,1.0,0.6
2023-12-09,0.0,6.0,15.70883,BG,1.0,0.6
2023-12-09,0.0,6.0,166.79532,No-BG,1.0,0.6
2023-12-09,0.0,7.0,15.807054,BG,1.0,0.6
2023-12-09,0.0,7.0,138.73607,No-BG,1.0,0.6
2023-12-09,0.0,8.0,15.623247,BG,1.0,0.6
2023-12-09,0.0,8.0,113.57186,No-BG,1.0,0.6
2023-12-09,0.0,9.0,15.182584,BG,1.0,0.6
2023-12-09,0.0,9.0,110.71872,No-BG,1.0,0.6
2023-12-09,0.0,10.0,11.7171135,BG,1.0,0.6
2023-12-09,0.0,10.0,107.77178,No-BG,1.0,0.6
2023-12-09,0.0,11.0,11.919508,BG,1.0,0.6
2023-12-09,0.0,11.0,105.93483,No-BG,1.0,0.6
2023-12-09,0.0,12.0,10.752857,BG,1.0,0.6
2023-12-09,0.0,12.0,104.030365,No-BG,1.0,0.6
2023-12-09,0.0,13.0,10.619435,BG,1.0,0.6
2023-12-09,0.0,13.0,102.20883,No-BG,1.0,0.6
2023-12-09,0.0,14.0,10.346038,BG,1.0,0.6
2023-12-09,0.0,14.0,100.66859,No-BG,1.0,0.6
2023-12-09,4.0,0.0,26.002127,BG,1.0,0.6
