date,model_num,epoch_num,loss,network,pretrained,train_fraction
2023-12-09,2.0,0.0,68.837944,RNNGMM,1.0,0.6
2023-12-09,2.0,1.0,28.364584,RNNGMM,1.0,0.6
2023-12-09,2.0,2.0,19.13736,RNNGMM,1.0,0.6
2023-12-09,2.0,3.0,18.246103,RNNGMM,1.0,0.6
2023-12-09,2.0,4.0,17.870893,RNNGMM,1.0,0.6
2023-12-09,2.0,5.0,17.044304,RNNGMM,1.0,0.6
2023-12-09,2.0,6.0,16.846952,RNNGMM,1.0,0.6
2023-12-09,2.0,7.0,16.652706,RNNGMM,1.0,0.6
2023-12-09,2.0,8.0,16.190435,RNNGMM,1.0,0.6
2023-12-09,2.0,9.0,15.687917,RNNGMM,1.0,0.6
2023-12-09,2.0,10.0,15.847944,RNNGMM,1.0,0.6
2023-12-09,2.0,11.0,15.491655,RNNGMM,1.0,0.6
2023-12-09,2.0,12.0,15.435676,RNNGMM,1.0,0.6
2023-12-09,2.0,13.0,15.194474,RNNGMM,1.0,0.6
2023-12-09,2.0,14.0,15.306904,RNNGMM,1.0,0.6
2023-12-09,1.0,0.0,96.6705551147461,RNNGMM,1.0,0.6
2023-12-09,1.0,1.0,48.54038619995117,RNNGMM,1.0,0.6
2023-12-09,1.0,2.0,23.65989112854004,RNNGMM,1.0,0.6
2023-12-09,1.0,3.0,17.801769256591797,RNNGMM,1.0,0.6
2023-12-09,1.0,4.0,16.572519302368164,RNNGMM,1.0,0.6
2023-12-09,1.0,5.0,15.868929862976074,RNNGMM,1.0,0.6
2023-12-09,1.0,6.0,15.318666458129885,RNNGMM,1.0,0.6
2023-12-09,1.0,7.0,14.40552043914795,RNNGMM,1.0,0.6
2023-12-09,1.0,8.0,13.430185317993164,RNNGMM,1.0,0.6
2023-12-09,1.0,9.0,12.565908432006836,RNNGMM,1.0,0.6
2023-12-09,1.0,10.0,12.154702186584473,RNNGMM,1.0,0.6
2023-12-09,1.0,11.0,12.003873825073242,RNNGMM,1.0,0.6
2023-12-09,1.0,12.0,10.946670532226562,RNNGMM,1.0,0.6
2023-12-09,1.0,13.0,10.60659408569336,RNNGMM,1.0,0.6
2023-12-09,1.0,14.0,10.166146278381348,RNNGMM,1.0,0.6
2023-12-09,3.0,0.0,82.25947570800781,RNNGMM,1.0,0.6
2023-12-09,3.0,1.0,58.17024612426758,RNNGMM,1.0,0.6
2023-12-09,3.0,2.0,39.16248321533203,RNNGMM,1.0,0.6
2023-12-09,3.0,3.0,10.96836757659912,RNNGMM,1.0,0.6
2023-12-09,3.0,4.0,7.455272674560547,RNNGMM,1.0,0.6
2023-12-09,3.0,5.0,6.669527530670166,RNNGMM,1.0,0.6
2023-12-09,3.0,6.0,6.5241522789001465,RNNGMM,1.0,0.6
2023-12-09,3.0,7.0,6.384382724761963,RNNGMM,1.0,0.6
2023-12-09,3.0,8.0,5.735088348388672,RNNGMM,1.0,0.6
2023-12-09,3.0,9.0,5.380646228790283,RNNGMM,1.0,0.6
